INSERT INTO questions (Question, OpA, OpB, OpC, OpD) VALUES 
('A block is enclosed inside what in C++?', '[ ]', '{ }', '( )', 'None of the above'),
('The extension name of a C++ source code file is', 'C', 'cpp', 'c++', 'Cpp'),
('Which of the following is not a primitive datatype?', 'int', 'float', 'bool', 'pointer'),
('What is correct way of initializing a variable?', 'int int;', 'Int var;', 'int main;', 'int var;'),
('Which data type is best suited for storing a decimal number in C++?', 'int', 'float', 'bool', 'char'),
('What is the size of long int in C++?', '4 bits', '4 bytes', '8 bits', '8 bytes'),
('Suppose x=10 and y=10 what is x after evaluating the expression (y >= 10) || (x++ > 10).', 'Error', '11', '10', 'None of the above'),
('Which of the following is correct way to define a function in C++?', 'void function { }', 'Define function( ) { }', 'void function( ) { }', 'void function( );'),
('Which of the following is true about the main() function?', 'It can have any name', 'It is not required in every C++ program', 'It is the entry point of a C++ program', 'It cannot return a value'),
('The signature of the main function in C++ is what?', 'int main()', 'int main(int args, char* argu)', 'Both a and b', 'None of the above'),
('Which keyword is used to return a value from a function?', 'yield', 'Exit', 'break', 'return'),
('What is the output of the expression cout<<"''A'' + 32"<<endl; in C++?', 'a', '97', '''A'' + 32', 'None of the above'),
('What is cout in C++?', 'Function', 'Object', 'Variable', 'Macro'),
('If you declare an array double list[] = {3.4, 2.0, 3.5, 5.5}, list[sizeof(list)] is', '5.5', '3.4', '3.5', 'Error'),
('When you pass an array to a function, the function receives what?', 'The value of the first index of an array', 'The address of the first index of an array', 'The entire array by value', 'The size of the array'),
('A function is stored in which memory?', 'Stack', 'Global', 'Heap', 'Static'),
('Which of the following statements is used to end a loop immediately?', 'exit', 'break', 'continue', 'return'),
('Which loop checks the condition after executing the loop body at least once?', 'for', 'while', 'do-while', 'foreach'),
('Which of the following correctly declares a constant variable in C++?', 'Constant int num = 10;', 'Final int num = 10;', 'Const int num = 10;', 'const int num = 10;'),
('What is the correct way to declare a function in C++ that returns an integer?', 'function int add(int a, int b)', 'int add(int a, int b)', 'add(int a, int b)', 'void add(int a, int b)'),
('What is the index of the first element of an array in C++?', '0', '1', '-1', 'Depends on the array size'),
('How do you initialize an array of size 5 with all elements set to zero?', 'int arr[5] = 0;', 'Int arr[5] = {0};', 'int arr[5];', 'int arr[5] = {0};'),
('What is the correct syntax for a for loop in C++?', 'for (int i; i <10; i++)', 'for (int i = 0; i < 10; i++)', 'for (i = 0; i < 10: i++)', 'for i = 0 to 10'),
('What is the wrong way for writing the variable name?', 'int int_value;', 'int Int_value;', 'int 1_value;', 'int value;'),
('Which of the following operators is used to access a pointer to a structure in C++?', '.', '*', '->', '&'),
('Which of the following data types is used to store a list of characters in C++?', 'char[]', 'string', 'Both a and b', 'None of the above'),
('In a C++, how are members of the structure accessed?', 'Using the dot (.) operator', 'Using the arrow (->) operator', 'Using the (&) operator', 'Both a and b'),
('What is the output of the expression 5 % 2 in C++?', '1', '2', '0', '5'),
('What does the continue statement do in a loop in C++?', 'Exits the loop', 'Skips the rest of the current iteration and moves to the next iteration', 'Restarts the loop from the beginning', 'Skips the entire loop body'),
('Which of the following is true about functions in C++?', 'Functions can return more than one value', 'Functions can only be called once', 'Functions can return only one value', 'Function must always have a return type of int'),
('What is the purpose of the return 0; statement in the main( ) function in C++?', 'Indicates the program has executed successfully', 'Terminates the program with an error', 'It is mandatory in every program', 'It restarts the program'),
('What is the default value of an uninitialized local variable in C++?', '0', 'Garbage value', 'NULL', 'Undefined'),
('What is a structure in C++?', 'A collection of similar data types', 'A collection of different data types grouped together', 'A predefined object in the library', 'A class with no methods'),
('What is the scope of a variable declared inside a function in C++?', 'Global', 'Local to the function', 'Accessible in other functions', 'Static'),
('Which of the following is valid C++ array declaration?', 'int arr[5] = {1, 2, 4};', 'int arr[ ] = 5;', 'arr[5] = {1, 2, 4};', 'int arr(5) = {1, 2, 4};'),
('What will the “cout << sizeof(float);” statement in C++ print?', '2', '4', '8', 'Depends on the machine'),
('Which of the following is correct for declaring a character array in C++?', 'char str[ ] = "Hello";', 'char str = \'Hello\';', 'char str[2] = "Hello";', 'None of the above'),
('What will the statement “cout << 5 / 2 << endl;” in C++ print?', '2.5', '2', '3', '1'),
('Which of the following statements is correct about pointers?', 'A pointer stores the value of a variable', 'A pointer stores the memory address of another variable', 'A pointer can only point to an int data type', 'A pointer is a constant variable'),
('A structure is declared using which keyword in C++?', 'class', 'struct', 'typedef', 'namespace'),
('What is the role of the void keyword in a function declaration?', 'It returns a null value', 'It specifies that the function does not return a value', 'It makes the function private', 'It specifies that the function accepts any data type'),
('What is the correct syntax for a function declaration in C++?', 'int myFunction(int a);', 'int myFunction(int a, int b);', 'int myFunction();', 'All of the above'),
('What is function prototype in C++?', 'The definition of the function', 'The declaration of the function without its body', 'The return value of the function', 'The execution of the function'),
('What is a null pointer in C++?', 'A pointer that does not point to any valid memory location', 'A pointer with a value of 0', 'A pointer to the first element in an array', 'A pointer that stores a reference to a function'),
('Which keyword is used to define a constant variable in C++?', 'final', 'define', 'const', 'constant');


INSERT INTO answers (Qno, answer) VALUES 
(1, 'b'),
(2, 'b'),
(3, 'd'),
(4, 'd'),
(5, 'b'),
(6, 'd'),
(7, 'c'),
(8, 'c'),
(9, 'c'),
(10, 'c'),
(11, 'd'),
(12, 'c'),
(13, 'b'),
(14, 'd'),
(15, 'b'),
(16, 'a'),
(17, 'b'),
(18, 'c'),
(19, 'd'),
(20, 'b'),
(21, 'a'),
(22, 'd'),
(23, 'b'),
(24, 'c'),
(25, 'c'),
(26, 'c'),
(27, 'd'),
(28, 'a'),
(29, 'b'),
(30, 'c'),
(31, 'a'),
(32, 'b'),
(33, 'b'),
(34, 'b'),
(35, 'a'),
(36, 'b'),
(37, 'a'),
(38, 'b'),
(39, 'b'),
(40, 'b'),
(41, 'b'),
(42, 'd'),
(43, 'b'),
(44, 'a'),
(45, 'c');
